Ano-Período,Componente,Tipo,Situação,Horário,Vagas
2018-2,DBQ0050 - BIOINFORMÁTICA ESTRUTURAL,Turma Regular,Atendida,35T12 (30/07/2018 - 22/12/2018),20
2018-2,DBQ0050 - BIOINFORMÁTICA ESTRUTURAL,Turma Regular,Removida,35T34 (30/07/2018 - 22/12/2018),10
2018-2,DIM0109.0 - CIRCUITOS LÓGICOS,Turma Regular,Removida,24T34,10
2018-2,DIM0109.1 - LABORATÓRIO DE CIRCUITOS LÓGICOS,Turma Regular,Removida,6T34,10
2018-2,DIM0114 - BANCO DE DADOS,Turma Regular,Atendida,24M34 (30/07/2018 - 22/12/2018),10
2018-2,DIM0117 - ESTRUTURAS DE DADOS BÁSICAS II,Turma Regular,Atendida,35M34 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,26M56 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,26T34 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,26M12 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,26T56 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,4M12 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,4M56 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,4T56 (30/07/2018 - 22/12/2018),1
2018-2,DIM0118.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Removida,4T34 (30/07/2018 - 22/12/2018),1
